iter	Passed	Remaining
409	4847	6975
410	4863	6969
411	4930	7037
412	4950	7035
413	4967	7030
414	4985	7027
415	5001	7021
416	5025	7026
417	5056	7040
418	5077	7040
419	5091	7031
420	5121	7043
421	5138	7038
422	5154	7030
423	5170	7024
424	5187	7018
425	5203	7011
426	5220	7004
427	5236	6997
428	5251	6989
429	5268	6983
430	5284	6976
431	5300	6969
432	5322	6969
433	5347	6973
434	5368	6972
435	5383	6963
436	5402	6960
437	5417	6951
438	5431	6940
439	5441	6925
440	5452	6911
441	5461	6894
442	5473	6881
443	5484	6867
444	5494	6853
445	5504	6837
446	5515	6822
447	5526	6808
448	5535	6793
449	5546	6778
450	5557	6764
451	5568	6751
452	5578	6736
453	5589	6722
454	5601	6709
455	5611	6694
456	5622	6680
457	5631	6664
458	5641	6649
459	5652	6635
460	5662	6620
461	5672	6606
462	5683	6591
463	5694	6578
464	5703	6561
465	5712	6546
466	5732	6542
467	5741	6527
468	5753	6513
469	5764	6500
470	5777	6488
471	5788	6474
472	5798	6460
473	5809	6446
474	5819	6432
475	5830	6418
476	5841	6405
477	5851	6390
478	5863	6377
479	5872	6362
480	5883	6348
481	5894	6334
482	5903	6318
483	5914	6305
484	5925	6291
485	5935	6277
486	5945	6263
487	5956	6249
488	5966	6234
489	5979	6223
490	5991	6210
491	6000	6195
492	6013	6183
493	6023	6169
494	6031	6153
495	6042	6139
496	6054	6127
497	6063	6112
498	6074	6098
499	6084	6084
500	6094	6070
501	6105	6056
502	6115	6042
503	6126	6029
504	6136	6015
505	6147	6001
506	6157	5987
507	6168	5974
508	6178	5959
509	6190	5947
510	6203	5936
511	6213	5922
512	6225	5909
513	6236	5896
514	6246	5882
515	6258	5869
516	6269	5857
517	6281	5845
518	6291	5831
519	6302	5817
520	6320	5811
521	6331	5797
522	6342	5784
523	6354	5772
524	6375	5768
525	6387	5756
526	6398	5743
527	6411	5731
528	6423	5718
529	6433	5705
530	6444	5692
531	6457	5680
532	6471	5669
533	6481	5656
534	6492	5643
535	6503	5629
536	6513	5615
537	6524	5603
538	6535	5589
539	6545	5576
540	6555	5562
541	6567	5549
542	6576	5535
543	6588	5522
544	6603	5512
545	6616	5501
546	6637	5496
547	6649	5484
548	6661	5472
549	6672	5459
550	6684	5446
551	6693	5432
552	6704	5419
553	6715	5406
554	6726	5393
555	6738	5381
556	6750	5368
557	6762	5356
558	6773	5344
559	6785	5331
560	6797	5318
561	6807	5305
562	6818	5292
563	6830	5280
564	6843	5269
565	6854	5256
566	6865	5243
567	6877	5230
568	6890	5219
569	6901	5206
570	6915	5195
571	6925	5181
572	6935	5167
573	6945	5154
574	6956	5141
575	6968	5129
576	6980	5117
577	6989	5103
578	7000	5090
579	7013	5078
580	7024	5066
581	7036	5053
582	7048	5041
583	7062	5030
584	7073	5018
585	7084	5005
586	7094	4991
587	7107	4980
588	7118	4967
589	7130	4955
590	7140	4941
591	7152	4929
592	7164	4917
593	7175	4904
594	7187	4892
595	7198	4879
596	7209	4866
597	7220	4854
598	7235	4844
599	7247	4831
600	7258	4818
601	7270	4806
602	7285	4796
603	7297	4784
604	7308	4771
605	7320	4759
606	7331	4746
607	7343	4734
608	7355	4722
609	7366	4709
610	7377	4697
611	7389	4684
612	7401	4672
613	7411	4659
614	7424	4647
615	7435	4635
616	7446	4622
617	7458	4610
618	7470	4598
619	7481	4585
620	7494	4574
621	7504	4560
622	7518	4549
623	7528	4536
624	7541	4524
625	7553	4512
626	7565	4500
627	7576	4488
628	7588	4475
629	7600	4463
630	7611	4451
631	7623	4439
632	7635	4426
633	7645	4413
634	7657	4401
635	7668	4388
636	7679	4376
637	7692	4364
638	7705	4352
639	7717	4340
640	7728	4328
641	7744	4318
642	7758	4307
643	7771	4296
644	7783	4283
645	7794	4271
646	7805	4258
647	7814	4245
648	7832	4236
649	7840	4221
650	7851	4209
651	7861	4196
652	7871	4182
653	7882	4170
654	7894	4158
655	7906	4145
656	7917	4133
657	7927	4120
658	7938	4107
659	7948	4094
660	7961	4083
661	7972	4070
662	7983	4057
663	7993	4044
664	8005	4032
665	8016	4020
666	8026	4007
667	8037	3994
668	8047	3981
669	8058	3969
670	8069	3956
671	8078	3943
672	8091	3931
673	8100	3917
674	8110	3905
675	8124	3893
676	8137	3882
677	8149	3870
678	8159	3857
679	8171	3845
680	8180	3832
681	8191	3819
682	8202	3807
683	8213	3794
684	8223	3781
685	8234	3769
686	8244	3756
687	8254	3743
688	8264	3730
689	8275	3718
690	8286	3705
691	8296	3692
692	8308	3680
693	8321	3669
694	8332	3656
695	8344	3644
696	8354	3631
697	8365	3619
698	8374	3606
699	8387	3594
700	8398	3582
701	8410	3570
702	8420	3557
703	8432	3545
704	8441	3532
705	8455	3521
706	8467	3509
707	8477	3496
708	8488	3484
709	8498	3471
710	8508	3458
711	8519	3446
712	8530	3433
713	8541	3421
714	8551	3408
715	8564	3397
716	8575	3384
717	8585	3371
718	8596	3359
719	8606	3346
720	8616	3334
721	8626	3321
722	8636	3309
723	8647	3296
724	8657	3283
725	8669	3272
726	8686	3261
727	8697	3249
728	8708	3237
729	8717	3224
730	8728	3211
731	8738	3199
732	8748	3186
733	8758	3174
734	8768	3161
735	8780	3149
736	8790	3137
737	8801	3124
738	8811	3112
739	8821	3099
740	8833	3087
741	8842	3074
742	8853	3062
743	8863	3049
744	8875	3037
745	8887	3025
746	8898	3013
747	8907	3001
748	8918	2988
749	8927	2975
750	8934	2962
751	8947	2950
752	8960	2939
753	8969	2926
754	8981	2914
755	8994	2902
756	9004	2890
757	9016	2878
758	9025	2865
759	9037	2853
760	9047	2841
761	9058	2829
762	9068	2816
763	9079	2804
764	9090	2792
765	9100	2780
766	9111	2767
767	9122	2755
768	9138	2745
769	9149	2732
770	9160	2720
771	9170	2708
772	9181	2696
773	9192	2684
774	9201	2671
775	9213	2659
776	9224	2647
777	9237	2635
778	9247	2623
779	9260	2611
780	9272	2600
781	9283	2588
782	9294	2575
783	9309	2564
784	9325	2554
785	9347	2544
786	9362	2533
787	9377	2522
788	9393	2512
789	9408	2501
790	9426	2490
791	9447	2481
792	9465	2470
793	9482	2460
794	9498	2449
795	9515	2438
796	9530	2427
797	9551	2417
798	9571	2407
799	9589	2397
800	9605	2386
801	9619	2374
802	9637	2364
803	9655	2353
